,shopid,title,address,rating,recdish,deal
0,H2w6Lxu7zJRQ2aPu,杨敢敢重庆火锅,解放碑街道临江支路32号负8号-1层附3号,4.72,四喜拼盘/招牌香辣卤蛙/重庆泡椒牛蛙,此餐馆有5个团购/
1,l7QxpyBMDBNmBmcQ,江二娃串串香(解放碑大同路店),解放碑大同路72号,4.70,香菜牛肉/麻辣牛肉/鸭血6元,此餐馆有1个团购
2,G1bqI22dI9sBvPgY,虾吃虾涮虾火锅(解放碑八一广场店),八一路好吃街八一广场4楼,4.70,珍馐美馔小锅/香辣虾/酸辣蕨根粉,此餐馆有4个团购
3,H7sSr4HOoNDcuI2W,防空洞火锅串串(解放碑店),邹容路50号,4.69,手工现打虾滑/红糖糍粑/秘制麻辣牛肉,此餐馆有3个团购/
4,la9TEum9q1MGDlRa,鲁祖古法火锅,民生路鲁祖庙14号花市,4.69,沉香鼎罐牛肉/古法火锅/鲁祖酥肉,
5,H8ok4YJ8Bg8tzmcW,纤夫故事重庆老火锅(解放碑店),民生路210号101、103-1、103-2号商铺,4.68,重庆三宝/红糖糍粑/大刀腰片,此餐馆有5个团购//本店支持在线下单，足不出户，外送到家！
6,H8mndZYaEt3InKW7,外婆桥全牛老火锅(解放碑店),五一路191号大都会7楼（距人民解放纪念碑约228米）,4.68,牛三样/蛋煎糍粑/麻辣牛肉,此餐馆有5个团购
7,k3rNJxN0Hdk64XT3,潮尚前线潮汕牛肉火锅(解放碑英利店),民权路26号英利大融城5f,4.67,吊龙/精选嫩肉/越南巴沙鱼,此餐馆有4个团购
8,G3RIOdJJhvkUJEIe,小龙坎火锅(解放碑店),邹容路118号,4.66,鸭血/虾滑/红汤底料,此餐馆有5个团购/本店支持在线下单，足不出户，外送到家！
9,G39r2KA3HLvqKKGx,民生巷火锅,民生路242号,4.66,嫩肉片/大块肉/招牌鸭血,此餐馆有2个团购
10,EinRYS3oXrc6p83P,上隐·私厨火锅,民权路得意世界生活馆8楼801,4.65,定制午餐肉/水牛毛肚/手打虾滑,
11,l5CIPpFQJEsAvOw9,渝厨艺人吊火锅(解放碑总店),解放碑临江路12号（近洪崖洞）,4.65,红烧肉/鲜鸭肠/鲜鸭血,此餐馆有6个团购
12,H75wkPM6pPilvo5l,余歡喜江湖渔馆(解放碑店),重庆国贸中心中华巷1一49号3楼,4.64,美蛙/花鲢/川北凉粉,此餐馆有3个团购
13,kacHiAShnLUTBfvF,周大师3拖1老火锅(解放碑店),较场口民生路9号二楼（周师兄腰片老火锅楼上）,4.62,手打虾滑/鲜毛肚/冷锅鸭血,
14,EKolxh9QkvrRJf8Y,八十春老火锅,中山一路财信渝中城2楼,4.62,八十春雾都毛肚/八十春雾都鹅肠/冰粉桂花酿,此餐馆有4个团购
